,0,1,2,3,,,
0,Fresh Opium,11-Jul,12-Jul,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",212,156,-26%,,,
2,"Trader price 
(US$/Kg)",222,163,-27%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,11-Aug,12-Aug,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",214,168,-22%,,,
2,"Trader price 
(US$/Kg)",218,175,-20%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,11-Sep,12-Sep,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",218,164,-25%,,,
2,"Trader price 
(US$/Kg)",229,171,-25%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,11-Oct,12-Oct,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",221,159,-28%,,,
2,"Trader price 
(US$/Kg)",232,165,-29%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,11-Nov,12-Nov,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",214,157,-27%,,,
2,"Trader price 
(US$/Kg)",225,163,-27%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,11-Dec,12-Dec,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",186,166,-11%,,,
2,"Trader price 
(US$/Kg)",198,173,-13%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Jan,13-Jan,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",180,167,-7%,,,
2,"Trader price 
(US$/Kg)",189,175,-7%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Feb,13-Feb,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",176,162,-8%,,,
2,"Trader price 
(US$/Kg)",185,170,-8%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,10-Feb,11-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",73,251,244%,,,
2,"Trader price 
(US$/Kg)",80,259,224%,,,
,0,1,2,3,,,
0,Fresh Opium,11-Feb,12-Feb,"Increase/ 
Decrease (%)",,,
1,"Farm-gate price 
(US$/Kg)",251,176,-30%,,,
2,"Trader price 
(US$/Kg)",259,185,-28%,,,
,0,1,2,3,,,
0,Dry Opium,12-Feb,13-Feb,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",231,181,-22%,,,
2,"Trader price 
(US$/Kg)",244,189,-23%,,,
,0,1,2,3,,,
0,Fresh Opium,12-Feb,13-Feb,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",176,162,-8%,,,
2,"Trader price 
(US$/Kg)",185,170,-8%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Mar,13-Mar,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",159,161,1%,,,
2,"Trader price 
(US$/Kg)",169,168,-1%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Apr,13-Apr,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",158,143,-9%,,,
2,"Trader price 
(US$/Kg)",166,159,-4%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-May,13-May,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",166,132,-21%,,,
2,"Trader price 
(US$/Kg)",172,147,-15%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Jun,13-Jun,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",171,120,-30%,,,
2,"Trader price 
(US$/Kg)",177,126,-29%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Jul,13-Jul,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",156,114,-27%,,,
2,"Trader price 
(US$/Kg)",163,120,-26%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Aug,13-Aug,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",168,115,-31%,,,
2,"Trader price 
(US$/Kg)",175,121,-31%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Sep,13-Sep,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",164,112,-32%,,,
2,"Trader price 
(US$/Kg)",171,117,-32%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Oct,13-Oct,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",159,116,-27%,,,
2,"Trader price 
(US$/Kg)",165,121,-27%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Nov,13-Nov,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",157,124,-21%,,,
2,"Trader price 
(US$/Kg)",163,129,-21%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,12-Dec,13-Dec,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",166,128,-23%,,,
2,"Trader price 
(US$/Kg)",173,134,-23%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Jan,14-Jan,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",167,132,-21%,,,
2,"Trader price 
(US$/Kg)",175,138,-21%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Feb,14-Feb,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",162,135,-17%,,,
2,"Trader price 
(US$/Kg)",170,142,-16%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Mar,14-Mar,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",161,137,-15%,,,
2,"Trader price 
(US$/Kg)",168,144,-14%,,,
,0,1,2,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Apr,14-Apr,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",143,126,-12%,,,
2,"Trader price 
(US$/Kg)",159,132,-17%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-May,14-May,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",132,108,-18%,,,
2,"Trader price 
(US$/Kg)",147,113,-23%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Jun,14-Jun,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",120,108,-10%,,,
2,"Trader price 
(US$/Kg)",126,111,-12%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Jul,14-Jul,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",114,108,-5%,,,
2,"Trader price 
(US$/Kg)",120,109,-9%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Aug,14-Aug,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",115,114,-1%,,,
2,"Trader price 
(US$/Kg)",121,119,-2%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Sep,14-Sep,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",112,124,11%,,,
2,"Trader price 
(US$/Kg)",117,128,9%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Oct,14-Oct,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",116,124,7%,,,
2,"Trader price 
(US$/Kg)",121,128,6%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Nov,14-Nov,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",124,126,2%,,,
2,"Trader price 
(US$/Kg)",129,131,2%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,13-Dec,14-Dec,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",128,129,1%,,,
2,"Trader price 
(US$/Kg)",134,133,-1%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Jan,15-Jan,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",132,131.7,-0.40%,,,
2,"Trader price 
(US$/Kg)",138,136,-1%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Feb,15-Feb,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",135,123,-0.09,,,
2,"Trader price 
(US$/Kg)",142,128,-10%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Mar,15-Mar,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",137,127,-8%,,,
2,"Trader price 
(US$/Kg)",144,132,-8%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Apr,15-Apr,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",126,123,-2%,,,
2,"Trader price 
(US$/Kg)",132,131,-1%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-May,15-May,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",108,139,29%,,,
2,"Trader price 
(US$/Kg)",113,140,24%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Jun,15-Jun,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",108,126,16%,,,
2,"Trader price 
(US$/Kg)",111,132,19%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Jul,15-Jul,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",108,130,20%,,,
2,"Trader price 
(US$/Kg)",109,136,24%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Dry Opium,14-Aug,15-Aug,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",137,152,11%,,,
2,"Trader price 
(US$/Kg)",146,159,9%,,,
,0,1,2,3,,,
0,Fresh Opium,14-Aug,15-Aug,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",114,124,8%,,,
2,"Trader price 
(US$/Kg)",119,132,11%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Sep,15-Sep,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",124,129,4%,,,
2,"Trader price 
(US$/Kg)",128,136,6%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Oct,15-Oct,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",124,130,5%,,,
2,"Trader price 
(US$/Kg)",128,137,7%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Nov,15-Nov,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",126,139,10%,,,
2,"Trader price 
(US$/Kg)",131,145,11%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Dec,15-Dec,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",129,164,28%,,,
2,"Trader price 
(US$/Kg)",133,173,30%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Dry Opium,14-Jan,15-Jan,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",147,143,-3%,,,
2,"Trader price 
(US$/Kg)",155,150,-3%,,,
,0,1,2,3,,,
0,Fresh Opium,14-Jan,15-Jan,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",132,131.7,-0.40%,,,
2,"Trader price 
(US$/Kg)",138,136,-1%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Feb,15-Feb,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",135,123,-0.09,,,
2,"Trader price 
(US$/Kg)",142,128,-10%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Mar,15-Mar,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",137,127,-8%,,,
2,"Trader price 
(US$/Kg)",144,132,-8%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Apr,15-Apr,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",126,123,-2%,,,
2,"Trader price 
(US$/Kg)",132,131,-1%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-May,15-May,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",108,139,29%,,,
2,"Trader price 
(US$/Kg)",113,140,24%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Jun,15-Jun,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",108,126,16%,,,
2,"Trader price 
(US$/Kg)",111,132,19%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Jul,15-Jul,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",108,130,20%,,,
2,"Trader price 
(US$/Kg)",109,136,24%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Dry Opium,14-Aug,15-Aug,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",137,152,11%,,,
2,"Trader price 
(US$/Kg)",146,159,9%,,,
,0,1,2,3,,,
0,Fresh Opium,14-Aug,15-Aug,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",114,124,8%,,,
2,"Trader price 
(US$/Kg)",119,132,11%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Sep,15-Sep,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",124,129,4%,,,
2,"Trader price 
(US$/Kg)",128,136,6%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Oct,15-Oct,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",124,130,5%,,,
2,"Trader price 
(US$/Kg)",128,137,7%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Nov,15-Nov,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",126,139,10%,,,
2,"Trader price 
(US$/Kg)",131,145,11%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,,,
0,Fresh Opium,14-Dec,15-Dec,"Increase/ Decrease 
(%)",,,
1,"Farm-gate price 
(US$/Kg)",129,164,28%,,,
2,"Trader price 
(US$/Kg)",133,173,30%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2016,Jan_2017,"Change  
 %",Jan_2016,Jan_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),206,199,-3%,205,199,-3%
3,Dry opium Trader price (US$/Kg),214,207,-3%,213,207,-3%
4,Fresh Opium Farm-gate price (US$/Kg),186,178,-4%,188,178,-5%
5,Fresh Opium Trader price (US$/Kg),196,187,-5%,199,187,-6%
6,Heroin High Quality,3414,3337,-2%,3622,3337,-8%
7,Heroin Medium Quality,2493,2738,10%,2429,2444,1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2016,Jan_2017,"Change  
 %",Jan_2016,Jan_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),206,199,-3%,205,199,-3%
3,Dry opium Trader price (US$/Kg),214,207,-3%,213,207,-3%
4,Fresh Opium Farm-gate price (US$/Kg),186,178,-4%,188,178,-5%
5,Fresh Opium Trader price (US$/Kg),196,187,-5%,199,187,-6%
6,Heroin High Quality,3414,3337,-2%,3622,3337,-8%
7,Heroin Medium Quality,2493,2738,10%,2429,2444,1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2016,Jan_2017,"Change  
 %",Jan_2016,Jan_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),206,199,-3%,205,199,-3%
3,Dry opium Trader price (US$/Kg),214,207,-3%,213,207,-3%
4,Fresh Opium Farm-gate price (US$/Kg),186,178,-4%,188,178,-5%
5,Fresh Opium Trader price (US$/Kg),196,187,-5%,199,187,-6%
6,Heroin High Quality,3414,3337,-2%,3622,3337,-8%
7,Heroin Medium Quality,2493,2738,10%,2429,2444,1%
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Dec_2016,Jan_2017,"Change  
 %",Jan_2016,Jan_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),206,199,-3%,205,199,-3%
3,Dry opium Trader price (US$/Kg),214,207,-3%,213,207,-3%
4,Fresh Opium Farm-gate price (US$/Kg),186,178,-4%,188,178,-5%
5,Fresh Opium Trader price (US$/Kg),196,187,-5%,199,187,-6%
6,Heroin High Quality,3414,3337,-2%,3622,3337,-8%
7,Heroin Medium Quality,2493,2738,10%,2429,2444,1%
,0,1,2,3,4,5,6
0,"Dry Opium 
(Chaynaki quality)",Balkh,,"Price change 
(Jan-Dec) %",Hilmand,,"Price change 
(Jan-Dec) %"
1,,16-Dec,17-Jan,,16-Dec,17-Jan,
2,"Farm-gate price 
(US$/Kg)",194,165,-15%,400,400,0.00%
,0,1,,,,,
0,"Average Price US$/Kg
275
250
225
200
175
150
125
100
75
50
25",,,,,,
1,0,"Jul-05
Oct-05
Jan-06
Jul-06
Oct-06
Jan-07
Apr-07
Jul-07
Oct-07
Jan-08
Apr-08
Jul-08
Oct-08
Jan-09
Apr-09
Jul-09
Oct-09
Jan-10
Apr-10
Jul-10
Oct-10
Jan-11
Apr-11
Jul-11
Oct-11
Jan-12
Apr-12
Jul-12
Oct-12
Jan-13
Apr-13
Jul-13
Oct-13
Jan-14
Apr-14
Jul-14
Oct-14
Jan-15
Apr-15
Jul-15
Oct-15
Jan-16
Apr-16
Jul-16
Oct-16
Jan-17
Farm-gate
Traders",,,,,
,0,1,2,3,4,5,6
0,,By Month,,,By Year,,
1,,Jan_2017,Feb_2017,"Change  
%",Feb_2016,Feb_2017,"Change 
%"
2,Dry opium Farm-gate price (US$/Kg),199,195,-2%,217,195,-10%
3,Dry opium Trader price (US$/Kg),207,202,-2%,226,202,-11%
